lead_id,publication,issue_label,reported_date,date_precision,evidence_source,evidence_url,primary_locator_status,priority,notes
PDHD-L000001,La Escuela moderna,,1889-11-15,day,UNAM-RI,https://repositorio.unam.mx/contenidos?as=0&c=pQ8wXB&d=true&f=883.%23.%23.a_lit%3ABiblioteca+y+Hemeroteca+Nacional+Digital+de+M%C3%A9xico&i=3&q=Tesis_._hist%C3%B3ricas_._pedag%C3%B3gicas&t=search_0&v=1,pending_object_url,high,UNAM repository search surface exposes title and date; exact ficha URL still to be resolved
PDHD-L000002,La Escuela moderna,,1890-05-15,day,UNAM-RI,https://repositorio.unam.mx/contenidos?as=0&c=pQ8wXB&d=true&f=502.%23.%23.c_lit%3ABiblioteca+Nacional+de+M%C3%A9xico&i=5&q=Tesis_._hist%C3%B3ricas_._pedag%C3%B3gicas&t=search_0&v=1,pending_object_url,high,UNAM repository search surface exposes title and date
PDHD-L000003,La Escuela moderna,,1890-05-31,day,UNAM-RI,https://repositorio.unam.mx/contenidos?as=0&c=pQ8wXB&d=true&f=502.%23.%23.c_lit%3ABiblioteca+Nacional+de+M%C3%A9xico&i=5&q=Tesis_._hist%C3%B3ricas_._pedag%C3%B3gicas&t=search_0&v=1,pending_object_url,high,UNAM repository search surface exposes title and date
PDHD-L000004,La Escuela moderna,,1890-07-21,day,UNAM-RI,https://repositorio.unam.mx/contenidos?as=0&c=pQ8wXB&d=true&f=336.%23.%23.a_lit%3APublicaci%C3%B3n&i=3&q=Tesis_._hist%C3%B3gicas_._pedag%C3%B3gicas&t=search_0&v=1,pending_object_url,high,UNAM repository search surface exposes title and date
PDHD-L000005,La Escuela moderna,,1890-08-15,day,UNAM-RI,https://repositorio.unam.mx/contenidos?as=0&c=pQ8wXB&d=true&f=336.%23.%23.a_lit%3APublicaci%C3%B3n&i=3&q=Tesis_._hist%C3%B3ricas_._pedag%C3%B3gicas&t=search_0&v=1,pending_object_url,high,UNAM repository search surface exposes title and date
PDHD-L000006,La Escuela moderna,,1890-10-31,day,UNAM-RI,https://repositorio.unam.mx/contenidos?as=0&c=pQ8wXB&d=true&f=883.%23.%23.a_lit%3ABiblioteca+y+Hemeroteca+Nacional+Digital+de+M%C3%A9xico&i=3&q=Tesis_._hist%C3%B3ricas_._pedag%C3%B3gicas&t=search_0&v=1,pending_object_url,high,UNAM repository search surface exposes title and date
PDHD-L000007,La Escuela moderna,,1891-01-31,day,UNAM-RI,https://repositorio.unam.mx/contenidos?as=0&c=pQ8wXB&d=true&f=883.%23.%23.a_lit%3ABiblioteca+y+Hemeroteca+Nacional+Digital+de+M%C3%A9xico&i=3&q=Tesis_._hist%C3%B3ricas_._pedag%C3%B3gicas&t=search_0&v=1,pending_object_url,high,UNAM repository search surface exposes title and date
PDHD-L000008,La Escuela moderna,,1891-05-15,day,UNAM-RI,https://repositorio.unam.mx/contenidos?as=0&c=pQ8wXB&d=true&f=336.%23.%23.a_lit%3APublicaci%C3%B3n&i=3&q=Tesis_._hist%C3%B3ricas_._pedag%C3%B3gicas&t=search_0&v=1,pending_object_url,high,UNAM repository search surface exposes title and date
PDHD-L000009,El Maestro Rural,núm. 1,1932-03-01,day,UAM-SIGNOS,https://signoshistoricos.izt.uam.mx/index.php/historicos/article/view/396,pending_primary_locator,high,Issue and date cited in peer-reviewed article; primary digital object not yet resolved
PDHD-L000010,El Maestro Rural,núm. 3,1932-04-01,day,UAM-SIGNOS,https://signoshistoricos.izt.uam.mx/index.php/historicos/article/view/396,pending_primary_locator,high,Issue and date cited in peer-reviewed article
PDHD-L000011,El Maestro Rural,núm. 5,1932-05-01,day,UAM-SIGNOS,https://signoshistoricos.izt.uam.mx/index.php/historicos/article/view/396,pending_primary_locator,high,Issue and date cited in peer-reviewed article
PDHD-L000012,El Maestro Rural,núm. 8,1932-06-15,day,UAM-SIGNOS,https://signoshistoricos.izt.uam.mx/index.php/historicos/article/view/396,pending_primary_locator,high,Issue and date cited repeatedly in peer-reviewed article
PDHD-L000013,El Maestro Rural,núm. 9,1932-07-01,day,UAM-SIGNOS,https://signoshistoricos.izt.uam.mx/index.php/historicos/article/view/396,pending_primary_locator,high,Issue and date cited in peer-reviewed article
PDHD-L000014,El Maestro Rural,núm. 11,1932-08-01,day,UAM-SIGNOS,https://signoshistoricos.izt.uam.mx/index.php/historicos/article/view/396,pending_primary_locator,high,Issue and date cited in peer-reviewed article
PDHD-L000015,Revista de Educación,vol. 1 núm. 1,1937-06-15,day,UAM-SIGNOS,https://signoshistoricos.izt.uam.mx/index.php/historicos/article/view/396,pending_primary_locator,high,Issue date and volume cited in peer-reviewed article on SEP editorial policy
PDHD-L000016,Revista de Educación,vol. 1 núm. 2,1937-07,month,UAM-SIGNOS,https://signoshistoricos.izt.uam.mx/index.php/historicos/article/view/396,pending_primary_locator,high,Source states July 1937 but does not support a day-level date
PDHD-L000017,El Maestro,tomo I núm. 1,1921-04,month,UAM-SIGNOS,https://www.scielo.org.mx/scielo.php?lng=es&nrm=iso&pid=S2594-178X2021000200009&script=sci_arttext&tlng=es,resolved_with_date_conflict,high,One scholarly source cites 1 April 1921 while a facsimile bibliography reports 19 April 1921; canonical record retains month precision
