candidate_id,source_id,item_level,title,subtitle_or_scope,date_start,date_end,place,source_url,rights_status,priority,status,verification_note,checked_at
PDHD-C000001,HNDM,serial_title,La Voz de la instrucción,O sea el libro primero del maestro; semanario destinado al progreso de la enseñanza y a la defensa de los intereses materiales y morales del profesorado mexicano,1871,1871,México,https://hndm.iib.unam.mx/consulta/publicacion/verDescripcionDescarga/558ff9427d1e325230861576.pdf,metadata_only,high,verified_candidate,HNDM descriptor identifies 24 numbers in 1871 and explicit focus on teaching and the Mexican teaching profession,2026-09-03
PDHD-C000002,HNDM,serial_title,La Enseñanza,Revista americana de instrucción y recreo dedicada a la juventud,1870,1876,México,https://hndm.iib.unam.mx/consulta/publicacion/verDescripcionDescarga/558ff9307d1e32523086143b.pdf,metadata_only,high,verified_candidate,HNDM descriptor records pedagogical content and describes the journal as support for teachers' work,2026-09-03
PDHD-C000003,HNDM,serial_title,La Educación,Periódico de la Sociedad de Enseñanza Popular,1871,1873,León,https://hndm.iib.unam.mx/consulta/publicacion/verDescripcionDescarga/558ff92f7d1e325230861436.pdf,metadata_only,high,verified_candidate,HNDM descriptor documents the periodical and its direct relation to popular teaching and adult night schools,2026-09-03
PDHD-C000004,HNDM,issue,La Enseñanza Objetiva,Periódico dedicado a la propagación y adelanto de este sistema y a la educación civil y moral de la juventud,1891-12-12,1891-12-12,Ciudad de México,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a33397d1ed64f16922c93.pdf?palabras=,metadata_only,high,verified_candidate,"HNDM digitized issue: tomo XIII, número 49; contains a model lesson of explained reading and is a strong candidate for pedagogical-act annotation",2026-09-03
PDHD-C000005,UNAM-RI,serial_title,La Escuela moderna,Periódico pedagógico; issues indexed by the UNAM repository,1889,1899,México,https://repositorio.unam.mx/contenidos/ficha/la-escuela-moderna-924596,review_required,high,verified_candidate,UNAM repository exposes digitized issues including 1889-1891 and a record dated 1899-12-31; exact full serial span remains to be normalized,2026-09-03
PDHD-C000006,UNAM-RI,serial_title,La Enseñanza primaria,Publicación por y para profesores de enseñanza primaria,1901,1911,México,https://repositorio.unam.mx/contenidos/ficha/la-ensenanza-primaria-746481,review_required,high,verified_candidate,UNAM repository provides object-level records beginning in 1901; historical scholarship identifies the pedagogical journal across 1901-1911,2026-09-03
PDHD-C000007,HNDM,serial_title,Revista de la Instrucción Pública Mexicana,Publicación periódica sobre instrucción pública y pedagogía,1896,1902,México,https://hndm.iib.unam.mx/consulta/publicacion/visualizar/558075bf7d1e63c9fea1a411,metadata_only,high,verified_candidate,HNDM provides digitized issues from 1896 onward; historical scholarship places the title in 1896-1902 before the Boletín de Instrucción Pública,2026-09-03
PDHD-C000008,HNDM,serial_title,El Escolar Mexicano,"Periódico de instrucción, moral y recreo, dedicado a la niñez y a los profesores de enseñanza primaria",1888,1889,México,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a32fd7d1ed64f168e3546.pdf?palabras=,metadata_only,high,verified_candidate,Digitized HNDM issue from 2 September 1888 explicitly addresses children and primary teachers and contains pedagogical material associated with objective teaching,2026-09-03
PDHD-C000009,HNDM,serial_title,El Porvenir de la niñez,Publicación de la Sociedad Lancasteriana,1870,1875,México,https://hndm.iib.unam.mx/consulta/publicacion/verDescripcionDescarga/558ff93b7d1e3252308614fd.pdf,metadata_only,high,verified_candidate,"HNDM descriptor identifies it as the dissemination organ of the Lancasterian Company and documents issues, schools and popular primary education",2026-09-03
PDHD-C000010,HNDM,serial_title,El Protector de la infancia,Periódico de la Compañía Lancasteriana jalisciense,1871,1872,Guadalajara,https://hndm.iib.unam.mx/consulta/publicacion/verDescripcionDescarga/558ff93b7d1e325230861506.pdf,metadata_only,high,verified_candidate,HNDM descriptor records ten monthly issues and direct circulation through Lancasterian schools,2026-09-03
