source_id,source_name,institution,source_type,base_url,scope_note,accessed_at
HNDM,Hemeroteca Nacional Digital de México,UNAM-IIB,hemeroteca digital,https://hndm.iib.unam.mx/,Prensa histórica y publicaciones periódicas digitalizadas,2026-09-03
UNAM-RI,Repositorio Institucional de la UNAM,UNAM,repositorio institucional,https://repositorio.unam.mx/,Contenidos académicos y colecciones universitarias integradas por la UNAM,2026-09-03
SEP-CENTENARIO,Publicaciones Digitales del Centenario SEP,Secretaría de Educación Pública,colección institucional,https://centenario.sep.gob.mx/publicaciones,Publicaciones conmemorativas y textos históricos de la SEP,2026-09-03
BVM-CERVANTES,Biblioteca Virtual Miguel de Cervantes,Fundación Biblioteca Virtual Miguel de Cervantes,biblioteca digital,https://www.cervantesvirtual.com/,Colecciones digitalizadas y registros bibliográficos de publicaciones pedagógicas mexicanas,2026-09-03
UV-DEV,Diccionario Enciclopédico Veracruzano,Universidad Veracruzana,catálogo hemerográfico institucional,https://diccionariover.uv.mx/,Hemerografía histórica de Veracruz con descripciones de publicaciones y existencias,2026-09-03
COLMEX-RI,Repositorio de El Colegio de México,El Colegio de México,repositorio institucional,https://repositorio.colmex.mx/,Investigación histórica y fuentes secundarias de alta calidad para identificar prensa pedagógica,2026-09-03
UAM-SIGNOS,Signos Históricos,Universidad Autónoma Metropolitana-Iztapalapa,revista académica institucional,https://signoshistoricos.izt.uam.mx/,Investigación histórica arbitrada útil para identificar y contextualizar publicaciones educativas,2026-09-03
UNAM-TESIUNAM,TESIUNAM,Universidad Nacional Autónoma de México,repositorio de tesis,https://tesiunam.dgb.unam.mx/,Tesis universitarias y reproducciones documentales utilizadas solo como evidencia secundaria de descubrimiento,2026-09-03
UNAM-IIB-SIHENA,Sistema de Índices Hemerográficos de la Hemeroteca Nacional,UNAM-IIB,índice hemerográfico,https://sihena.iib.unam.mx/,Índices y colecciones hemerográficas de la Hemeroteca Nacional,2026-09-03
INTERNET-ARCHIVE,Internet Archive,Internet Archive,biblioteca digital,https://archive.org/,Copias digitalizadas de publicaciones históricas usadas como localizadores de consulta; la política de reutilización se resuelve por objeto,2026-09-03
BIBMX-FR,Fondo Reservado de la Biblioteca México,Secretaría de Cultura,biblioteca digital institucional,https://bibliotecamexico-fondoreservado.cultura.gob.mx/,Fondos históricos digitalizados y registros catalográficos de impresos mexicanos con opción institucional de consulta o descarga,2026-09-03
