item_id,fragment_id,document_id,page,source_url,boundary_instruction,codebook_version,annotation_id,coder_id,pedagogical_act_primary,pedagogical_act_secondary,dimension_teaching_method,dimension_teacher_authority,dimension_discipline,dimension_assessment,dimension_materials,dimension_lesson_organization,dimension_teacher_training,dimension_inspection_supervision,dimension_rurality,dimension_indigenous_education,dimension_inclusion_difference,dimension_gender,dimension_student_conception,dimension_professional_identity,dimension_school_community,dimension_pedagogical_change,normativity,actor,target,evidence_confidence,access_problem,notes,annotated_at
CAL001,PDHD-F000086,PDHD-D000073,53,https://books.google.com/books?id=mHgQAAAAYAAJ&pg=PA53,"Printed p. 53: begin with the opening continuation specifying federal programs and teacher appointments; continue through Article 334, Article 428 bis and the immediately following explanatory paragraph; stop before the paragraph beginning En lo que concierne al Departamento de Enseñanza Rural.",PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL002,PDHD-F000007,PDHD-D000064,8,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a3e407d1ed64f17176fc9.pdf?coleccion=&palabras=,"Printed p. 8, right column: use the two contiguous paragraphs beginning at the prize-distribution moment and ending with the acclamation of the Liceo founders; stop before the following formal-congratulations paragraph.",PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL003,PDHD-F000009,PDHD-D000063,34,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a32cf7d1ed64f168b337c.pdf?coleccion=&palabras=,Printed p. 34: use the complete paragraph beginning with the primary-school teacher at the head of childhood and ending immediately before the next paragraph on civilization and culture.,PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL004,PDHD-F000018,PDHD-D000001,1,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a33397d1ed64f16922c93.pdf?palabras=,Printed p. 1: use the centered two-line mission statement directly below the publication title and immediately above the redacción/despacho address.,PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL005,PDHD-F000027,PDHD-D000003,163,https://books.google.com/books?id=8A4huXQWEs8C,"Printed p. 163: use the closing block of Los ejercicios físicos en la escuela from the left-column summary of the opposing position through the right-column rebuttal, conclusion and author signature; stop before the horizontal rule.",PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL006,PDHD-F000080,PDHD-D000071,PP7,https://books.google.com/books?id=WzwXAAAAIAAJ&pg=PP7,"Front matter PP7 / physical PDF p. 7: use the bibliographic core from the Secretaría de Educación Pública line through the title, 1932-1933 date range and México 1933 imprint; exclude library marks and margins.",PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL007,PDHD-F000081,PDHD-D000078,223,https://books.google.com/books?id=yvMEAQAAIAAJ&pg=PA223,Printed p. 223 / physical PDF p. 238: use the paragraph beginning with the statement about insufficient preparation and continuing through the March-April preparation period and delivery of concrete work programs; stop before the departure/installation paragraph.,PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL008,PDHD-F000040,PDHD-D000031,1,https://www.cervantesvirtual.com/portadas/125/1259032/Max.jpg,First page: use only the discrete publication/subscription administration block associated with the masthead; exclude the opening article columns.,PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL009,PDHD-F000041,PDHD-D000051,147,https://archive.org/download/el-maestro.-revista-de-cultura-nacional-n-2-1921/page/n52,"Printed p. 147 / Internet Archive leaf n52: use the single paragraph in José Suirob, Orientación obrera, that contains the teaching sequence; stop before the next paragraph beginning Y no es que se quiera que vayamos despacio.",PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL010,PDHD-F000047,PDHD-D000052,341,https://archive.org/download/elmaestrorevista146mexi/page/n26,"Printed p. 341 / Internet Archive leaf n26: use the first paragraph under Rafael Ramos Pedrueza, Historia de Mexico, section IX; stop before the next paragraph on the Liberal Party.",PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL011,PDHD-F000062,PDHD-D000076,13,https://archive.org/download/cmodartodomxicou00ramr/cmodartodomxicou00ramr.pdf#page=19,"Printed p. 13 / physical PDF p. 19: use the continuous block describing the rural teacher's community-school responsibility, work with children and adults, preparation context and related courses; stop before detailed methodological recommendations resume.",PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL012,PDHD-F000092,PDHD-D000077,unnumbered,https://books.google.com/books?id=08ygAAAAMAAJ,"Physical PDF p. 6: use the bibliographic title-page core identifying the SEP Memoria, reporting period, Gonzalo Vázquez Vela, Tomo II, D.A.P.P. and México 1939; exclude seal, blank margins and digitization marks.",PDHD-CB-0.2-calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
