content_lead_id,document_id,content_title,author,content_type,evidence_url,evidence_status,page_status,promotion_status,promoted_fragment_id,checked_at,note
PDHD-PL000001,PDHD-D000003,El método en los libros de texto,Ponciano Rodríguez,article,https://difusionyextension.upnvirtual.edu.mx/index.php/component/phocadownload/category/16-catalogo/2-catalogo/14-catalogo-fasciculos?Itemid=101&download=602%3A65-los-libros-de-texto-mexicanos,secondary_page_pointer_verified,page_resolved,promoted_to_fragment_locator,PDHD-F000025,2026-09-05,"A Universidad Pedagógica Nacional publication gives the exact historical citation Ponciano Rodríguez, El método en los libros de texto, La Enseñanza Primaria 1(11), 1 December 1901, pp. 167-168. The lead is explicitly cross-walked to PDHD-F000025; direct inspection of the historical HNDM page remains required before freezing."
PDHD-PL000002,PDHD-D000064,La distribución de premios en el Liceo de Niñas,,article,https://inbadigital.bellasartes.gob.mx/jspui/bitstream/11271/2674/3/384PubLibFonidom2020.pdf,secondary_page_pointer_verified,page_resolved,promoted_to_fragment_locator,PDHD-F000006,2026-09-04,"An INBAL-hosted scholarly publication gives the exact bibliographic pointer El Instructor, Aguascalientes, 1 January 1889, p. 8, matching PDHD-D000064. The page pointer is promoted to PDHD-F000006, but the original page still requires direct inspection before any boundary can be fixed."
PDHD-PL000003,PDHD-D000063,Prospecto: difusión de métodos y guía práctica al magisterio,,prospectus,https://www.rmhe.somehide.org/index.php/revista/issue/download/2/11,secondary_page_pointer_verified,page_resolved,promoted_to_fragment_locator,PDHD-F000010,2026-09-04,"Peer-reviewed historical scholarship attributes the inaugural pedagogical mission statement of México Intelectual to 1889, p. 2. The passage describes diffusion of methods and systems and a practical guide for colleagues in the teaching profession. Promoted to PDHD-F000010; the exact inaugural day remains a separate chronology conflict and the primary page still requires inspection."
PDHD-PL000004,PDHD-D000058,La Pedagogía Moderna,Enrique C. Rébsamen,article,https://upnqueretaro.edu.mx/wp-content/uploads/2020/07/PROFESIONALIZACI%C3%93N-DOCENTE-Y-ESCUELA-P%C3%9ABLICA-EN-M%C3%89XICO-GE-AB.pdf,secondary_page_pointer_verified,page_resolved,promoted_to_fragment_locator,PDHD-F000023,2026-09-04,"A pedagogical-history teaching compilation cites Rébsamen, La Pedagogía Moderna, La Escuela Moderna, tomo I, núm. 2, 31 October 1889, pp. 17-18. The pointer is promoted to PDHD-F000023 for source-critical review; direct inspection of the historical page remains required before freezing."
PDHD-PL000005,PDHD-D000006,Personal docente: renuncia de Dolores Correa y sustitución por Emilia Tuchs,,official_notice,https://www.inehrm.gob.mx/work/models/inehrm/Resource/1484/1/images/Las_Maestras_de_Mexico_interactivo.pdf,secondary_page_pointer_verified,page_resolved,promoted_to_fragment_locator,PDHD-F000030,2026-09-04,"An INEHRM publication cites Revista de Instrucción Pública Mexicana, tomo I, 15 March 1896, p. 31 for the resignation of teacher Dolores Correa and her replacement by Emilia Tuchs. The pointer is promoted to PDHD-F000030 for the professional/institutional slot, pending primary-page inspection."
PDHD-PL000006,PDHD-D000011,Editorial framing of liberty and progress in the inaugural issue,,editorial,https://tesiunamdocumentos.dgb.unam.mx/ptd2014/marzo/0709779/0709779.pdf,secondary_page_pointer_verified,page_resolved,promoted_to_fragment_locator,PDHD-F000035,2026-09-04,"A UNAM thesis quotes and cites La Enseñanza Normal, 15 September 1904, p. 4 in discussing the inaugural issue's patriotic framing of liberty and progress. The page is promoted to PDHD-F000035; the original BVMC page still requires direct inspection and a fixed coder span."
PDHD-PL000007,PDHD-D000051,Las tribus indígenas mexicanas,José U. Escobar,article,https://www.paginaspersonales.unam.mx/app/webroot/files/5999/Publica_20221115053253.pdf,secondary_page_pointer_verified,page_resolved,promoted_to_fragment_locator,PDHD-F000043,2026-09-04,"UNAM-hosted scholarship gives the exact citation El Maestro 1(2), mayo 1921, pp. 173-176. The article is promoted to PDHD-F000043 as a source-critical locator candidate on representations and pedagogical organization of Indigenous groups; original pages remain to be inspected before freezing."
PDHD-PL000008,PDHD-D000052,Mejores maestros,Abel Ayala,article,https://www.paginaspersonales.unam.mx/app/webroot/files/5999/Publica_20221115053253.pdf,secondary_page_pointer_verified,page_resolved,promoted_to_fragment_locator,PDHD-F000046,2026-09-04,"UNAM-hosted scholarship cites Abel Ayala, Mejores maestros, El Maestro 1(4), julio 1921, pp. 351-352. The lead is promoted to PDHD-F000046 as a professional-identity target, with direct primary-page inspection still required."
PDHD-PL000009,PDHD-D000053,Lecturas escolares. El cardo,Gabriela Mistral,school_reading,https://tesiunamdocumentos.dgb.unam.mx/ptb2010/noviembre/0664324/0664324_A1.pdf,secondary_page_pointer_verified,page_resolved,promoted_to_fragment_locator,PDHD-F000049,2026-09-04,"A UNAM thesis cites Gabriela Mistral's Lecturas escolares. El cardo in El Maestro, Tomo II, no. III, diciembre de 1921, pp. 299-300. The page interval is promoted to PDHD-F000049; PDHD-X000005 separately preserves the chronology conflict with the 1922 catalog identification."
PDHD-PL000010,PDHD-D000053,Democracia Criolla,Rufino Blanco-Fombona,story,https://revistas.usal.es/tres/index.php/0212-0267/issue/download/hedu202443/171,secondary_page_pointer_verified,page_resolved,promoted_to_fragment_locator,PDHD-F000051,2026-09-04,"A peer-reviewed Historia de la Educación study identifies Democracia Criolla in El Maestro 2(3), pp. 293-297 and analyzes its educational use as social/political warning. The page interval is promoted to PDHD-F000051 for source-critical review; direct primary-page inspection remains pending."
