reserve_order,fragment_id,document_id,selection_order,era_code,slot,reserve_version,selection_basis,status
1,PDHD-F000001,PDHD-D000065,1,E1,A,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
2,PDHD-F000002,PDHD-D000065,1,E1,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
3,PDHD-F000003,PDHD-D000065,1,E1,C,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
4,PDHD-F000004,PDHD-D000065,1,E1,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
5,PDHD-F000005,PDHD-D000064,2,E1,A,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
6,PDHD-F000006,PDHD-D000064,2,E1,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
7,PDHD-F000008,PDHD-D000064,2,E1,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
8,PDHD-F000010,PDHD-D000063,3,E1,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
9,PDHD-F000011,PDHD-D000063,3,E1,C,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
10,PDHD-F000012,PDHD-D000063,3,E1,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
11,PDHD-F000013,PDHD-D000002,4,E1,A,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
12,PDHD-F000014,PDHD-D000002,4,E1,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
13,PDHD-F000015,PDHD-D000002,4,E1,C,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
14,PDHD-F000016,PDHD-D000002,4,E1,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
15,PDHD-F000017,PDHD-D000001,5,E1,A,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
16,PDHD-F000019,PDHD-D000001,5,E1,C,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
17,PDHD-F000020,PDHD-D000001,5,E1,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
18,PDHD-F000021,PDHD-D000058,6,E1,A,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
19,PDHD-F000022,PDHD-D000058,6,E1,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
20,PDHD-F000023,PDHD-D000058,6,E1,C,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
21,PDHD-F000024,PDHD-D000058,6,E1,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
22,PDHD-F000025,PDHD-D000003,7,E1,A,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
23,PDHD-F000026,PDHD-D000003,7,E1,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
24,PDHD-F000028,PDHD-D000003,7,E1,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
25,PDHD-F000029,PDHD-D000006,8,E1,A,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
26,PDHD-F000030,PDHD-D000006,8,E1,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
27,PDHD-F000031,PDHD-D000006,8,E1,C,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
28,PDHD-F000032,PDHD-D000006,8,E1,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
29,PDHD-F000033,PDHD-D000011,9,E1,A,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
30,PDHD-F000034,PDHD-D000011,9,E1,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
31,PDHD-F000035,PDHD-D000011,9,E1,C,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
32,PDHD-F000036,PDHD-D000011,9,E1,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
33,PDHD-F000037,PDHD-D000031,10,E1,A,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
34,PDHD-F000038,PDHD-D000031,10,E1,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
35,PDHD-F000039,PDHD-D000031,10,E1,C,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
36,PDHD-F000042,PDHD-D000051,11,E3,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
37,PDHD-F000043,PDHD-D000051,11,E3,C,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
38,PDHD-F000044,PDHD-D000051,11,E3,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
39,PDHD-F000045,PDHD-D000052,12,E3,A,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
40,PDHD-F000046,PDHD-D000052,12,E3,B,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
41,PDHD-F000048,PDHD-D000052,12,E3,D,PDHD-RR-0.1-20260907,exact_complement_of_calibration_within_frozen_96,reserved_for_formal_reliability_after_codebook_freeze
