attempt_id,document_id,fragment_ids,source_id,object_url,target,result_status,blocker,next_route,checked_at
PDHD-RA000001,PDHD-D000031,PDHD-F000037,BVM-CERVANTES,https://www.cervantesvirtual.com/descargaPdf/la-ensenanza-moderna-revista-pedagogica-tomo-i-segunda-epoca-num-1-1-de-julio-de-1907-1259032/,explicit_pedagogical_act,superseded_by_locator,"The earlier render-size blocker was cleared by a dedicated BVMC recovery workflow that downloaded the exact primary PDF and rendered all nine pages. Direct visual inspection of printed p. 6 identifies CLASE DE COLORES and a compact lesson plan; the fixed span begins at Principio and runs through Medio, Fin, Método and Procedimiento, ending before Ilustraciones. This provides an explicit pedagogical-act fragment without relying on OCR-only evidence.",frozen_registry_and_status_sync_completed,2026-09-05
PDHD-RA000002,PDHD-D000065,PDHD-F000001;PDHD-F000002;PDHD-F000003;PDHD-F000004,HNDM,https://hndm.iib.unam.mx/consulta/publicacion/verDescripcionDescarga/558ff93a7d1e3252308614f6.pdf,all_four_issue_slots,superseded_by_locator,"The original HNDM descriptor established the third-era chronology and four-page issue structure but did not expose page IDs, while the bound-container description for La Escuela de primeras letras was marked unavailable/in technical process. A later direct check of UNAM-RI record 921573 exposed structured fields for the exact selected object: item_pages=4, item_publication_id=558075be7d1e63c9fea1a3df, item_first_page_id=558a32a77d1ed64f1688827b and item_date=1870-11-06. Entering HNDM through that persistent first-page ID and following explicit siguienteLink identifiers recovered four unique PDFs; every viewer page reported Periquito, El, date 1870-11-06 and count 4, and every PDF identifier matched its page_id. Direct image inspection fixes F000001 on p. 3, F000002 and F000004 as distinct p. 4 regions, and confirms/rebounds F000003 on p. 2.",frozen_registry_gap_queue_alias_crosswalk_and_status_sync_completed,2026-09-06
PDHD-RA000004,PDHD-D000006,PDHD-F000029;PDHD-F000031;PDHD-F000032,HNDM,https://hndm.iib.unam.mx/consulta/publicacion/visualizar/558075bf7d1e63c9fea1a411,explicit_act_source_criticism_and_control,issue_resolved_manual_page_inspection_pending,"The selected 15 March 1896 issue is object-resolved and the p. 31 personnel notice already fills slot B, but no additional page-level spans for A/C/D have been recovered through public secondary searching",manual_37_page_issue_manual_inspection_and_page_id_capture,2026-09-05
PDHD-RA000005,PDHD-D000011,PDHD-F000034;PDHD-F000036,BVM-CERVANTES,https://www.cervantesvirtual.com/descargaPdf/la-ensenanza-normal-publicacion-periodica-de-la-direccion-general-de-la-ensenanza-normal-en-el-distrito-federal-ano-i-num-1-15-de-septiembre-de-1904-1255054/,professional_identity_and_control,superseded_by_locator,The earlier automated rendering limitation was superseded by direct inspection of the exact BVMC primary PDF. That inspection fixed the professional/editorial block for PDHD-F000034 and the autonomous publication-cadence control for PDHD-F000036; both canonical locator rows and frozen-registry rows now record the resolved boundaries,frozen_registry_and_status_sync_completed,2026-09-05
PDHD-RA000007,PDHD-D000051,PDHD-F000044,INTERNET-ARCHIVE,https://archive.org/details/n1n3elmaestrorevista01mexi/page/n103,issue_opening_control,superseded_by_locator,"A dedicated P3 workflow retrieved BookReader n100-n106 around the registered n103 recovery anchor. Direct inspection shows the preceding number closing before the next issue cover; n104 explicitly identifies EL MAESTRO / REVISTA DE CULTURA NACIONAL, NUM II, MEXICO, MCMXXI. The n104 bibliographic cartouche is now fixed as PDHD-F000044's non-analytical control span",frozen_registry_and_status_sync_completed,2026-09-05
PDHD-RA000008,PDHD-D000052,PDHD-F000048,INTERNET-ARCHIVE,https://archive.org/details/elmaestrorevista146mexi/page/n6,issue_opening_control,superseded_by_locator,"A dedicated P3 workflow retrieved BookReader n4-n10 around the registered n6 recovery anchor. Direct inspection shows n4 as the explicit issue cover identifying EL MAESTRO / REVISTA DE CULTURA NACIONAL, NUM IV, MEXICO, MCMXXI. The n4 bibliographic cartouche is stronger primary evidence than the generic n6 target and is now fixed as PDHD-F000048's non-analytical control span",frozen_registry_and_status_sync_completed,2026-09-05
PDHD-RA000009,PDHD-D000066,PDHD-F000060,GOOGLE-BOOKS,https://books.google.com/books?cad=1&id=O2oLAQAAIAAJ&pg=PR5&source=gbs_selected_pages,title_page_control,superseded_by_locator,"The initial browser/cache route and a separate HathiTrust image-delivery attempt did not yield an auditable page image. A dedicated Google Books workflow then fetched the registered PR5 HTML, resolved its live public PDF download link, downloaded a valid 29.9 MB primary PDF and rendered the first twelve pages. Google Books maps PR5 to book order 6; the PDF sequence places that title page at rendered image 009. Direct visual inspection confirms El esfuerzo educativo en México, the 1924-1928 administration framing, J. M. Puig Casauranc, Tomo I and Publicaciones de la Secretaría de Educación Pública. PDHD-F000060 is therefore fixed as a bibliographic title-page control without committing the page image or source transcription.",frozen_registry_and_status_sync_completed,2026-09-05
PDHD-RA000010,PDHD-D000011,PDHD-F000033,BVM-CERVANTES,https://www.cervantesvirtual.com/descargaPdf/la-ensenanza-normal-publicacion-periodica-de-la-direccion-general-de-la-ensenanza-normal-en-el-distrito-federal-ano-i-num-1-15-de-septiembre-de-1904-1255054/,explicit_pedagogical_act,superseded_by_locator,"A dedicated BVMC recovery workflow downloaded the exact 9.5 MB inaugural-issue PDF and rendered all twenty pages without assuming PDF index equals printed pagination. Direct visual inspection of printed p. 12 confirms Leopoldo Kiel's Conferencias Pedagógicas and the exact paragraph prescribing sustained work with a group of children, observation, experimentation and verification of the results of teaching procedures. The paragraph boundary is now fixed for PDHD-F000033; no source image or historical transcription is committed.",frozen_registry_and_status_sync_completed,2026-09-05
PDHD-RA000011,PDHD-D000003,PDHD-F000025;PDHD-F000026;PDHD-F000027;PDHD-F000028,GOOGLE-BOOKS,https://books.google.com/books?id=8A4huXQWEs8C,all_four_issue_slots,superseded_by_locator,"UNAM independently resolves the selected HNDM issue as La Enseñanza Primaria, 1 December 1901, while the HNDM viewer returned an access error in the current route. A dedicated Google Books recovery workflow dynamically resolved the public PDF for the primary 1901 volume, downloaded a valid 402-page 28.99 MB scan and rendered the target neighborhood. Direct inspection maps printed p. 161 to physical PDF page 175, p. 163 to page 177 and p. 168 to page 182. The images resolve a discrete Jefe de Redacción line and separate issue cartouche on p. 161, the complete Torres Quintero physical-education debate conclusion on p. 163, and an explicit methodological prescription in Ponciano Rodríguez's article on p. 168. All four deterministic slots for PDHD-D000003 are now fixed without committing scans or historical transcriptions.",frozen_registry_and_status_sync_completed,2026-09-05
PDHD-RA000012,PDHD-D000011,PDHD-F000035,BVM-CERVANTES,https://www.cervantesvirtual.com/descargaPdf/la-ensenanza-normal-publicacion-periodica-de-la-direccion-general-de-la-ensenanza-normal-en-el-distrito-federal-ano-i-num-1-15-de-septiembre-de-1904-1255054/,source_criticism_liberty_progress,superseded_by_locator,"The same exact twenty-page BVMC primary PDF recovered for the p. 12 conversion was inspected at printed p. 4. The page directly confirms the opening of 15 de Septiembre — Fecha grata and its political-educational framing connecting the publication date, school, education, liberty and progress. PDHD-F000035 is fixed from the article heading through the top-right opening paragraph and stops before the text shifts to military glories. This completes all four deterministic slots for PDHD-D000011 without committing the scan or historical transcription.",frozen_registry_and_status_sync_completed,2026-09-05
PDHD-RA000014,PDHD-D000063,PDHD-F000009;PDHD-F000010;PDHD-F000011;PDHD-F000012,HNDM,https://hndm.iib.unam.mx/consulta/publicacion/visualizar/558075be7d1e63c9fea1a356?anio=1889&mes=01&dia=01&intPagina=1&tipo=publicacion,all_four_issue_slots,superseded_by_locator,"UNAM-RI 897145 cross-walked the selected 1889 object to HNDM serial 558075be7d1e63c9fea1a356. An initial retrieval attempt incorrectly assumed intPagina changed leaves and downloaded the same first-page PDF repeatedly; that artifact was rejected. A corrected workflow followed each explicit siguienteLink page identifier and recovered 45 unique HNDM primary-page PDFs. Direct visual inspection fixes F000009 on p. 34, confirms F000010 on p. 2, tightens F000011 to p. 27, and moves F000012 from the incorrect secondary p. 6 pointer to the actual administrative CONDICIONES block on p. 32.",frozen_registry_and_status_sync_completed,2026-09-06
PDHD-RA000015,PDHD-D000006,PDHD-F000029;PDHD-F000030;PDHD-F000031;PDHD-F000032,HNDM,https://hndm.iib.unam.mx/consulta/publicacion/visualizar/558075bf7d1e63c9fea1a411?anio=1896&mes=03&dia=15&intPagina=1&tipo=publicacion,all_four_issue_slots,superseded_by_locator,"A dedicated corrected HNDM traversal followed persistent siguienteLink page identifiers through the exact 15 March 1896 issue and recovered 37 unique single-page PDFs. Five preliminary leaves are cover/index matter; sequence 6 is printed p. 1 and sequence 37 is printed p. 32. Direct image inspection fills former gaps F000029/F000031/F000032 and confirms the prior secondary p. 31 pointer for F000030. The final batch uses p. 12 for a non-overlapping explicit deaf-education language-method clause and a distinct source-critical gendered/vocational curriculum clause, p. 31 for the Correa Zapata/Tuchs personnel notice, and p. 1 for the masthead control.",frozen_registry_gap_queue_and_status_sync_completed,2026-09-06
PDHD-RA000016,PDHD-D000064,PDHD-F000005;PDHD-F000006;PDHD-F000007;PDHD-F000008,HNDM,https://hndm.iib.unam.mx/consulta/publicacion/visualizar/558075be7d1e63c9fea1a307?pagina=558a3e407d1ed64f17176fc2&coleccion=,all_four_issue_slots,superseded_by_locator,"UNAM-RI 750865 identifies the selected El Instructor object as 1889-01-01 and exposes persistent item_first_page_id 558a3e407d1ed64f17176fc2. An initial HNDM date-query traversal silently returned the 1 May 1888 issue; visual masthead inspection rejected all eight pages from that artifact. A date-routing probe then showed that simple anio/mes/dia GET parameters do not select the issue reliably. Entering the viewer through UNAM's exact persistent first-page ID passed a strict 1889-01-01 identity gate and recovered eight unique pages. Direct inspection fixes F000005 on p. 5, confirms and bounds F000006 on p. 8, fixes a distinct source-critical F000007 span on p. 8, and fixes F000008 on p. 1.",frozen_registry_gap_queue_and_status_sync_completed,2026-09-06
PDHD-RA000017,PDHD-D000058,PDHD-F000021;PDHD-F000022;PDHD-F000023;PDHD-F000024,HNDM,https://hndm.iib.unam.mx/consulta/publicacion/visualizar/558075be7d1e63c9fea1a259?coleccion=&pagina=1&anio=1889&mes=10&dia=31&butIr=Ir,all_four_issue_slots,superseded_by_locator,"UNAM-RI 924534 no longer exposed a usable target record. Adjacent live record 924533 identified the same HNDM serial and explicitly preserved the serial chronology including tomo I numero 2 on 31 October 1889. A numeric ObjectId-neighborhood probe was rejected after nearby IDs resolved to unrelated dates. Inspection of the actual HNDM viewer form showed that anioPS1/mesPS1/diaPS1 are element IDs while submitted field names are anio/mes/dia. Submitting pagina=1, anio=1889, mes=10, dia=31 resolved the 20-page issue with first page/PDF ID 558a33387d1ed64f16922984. Following explicit siguienteLink IDs recovered all 20 pages under strict date, count and PDF identity gates. Direct image inspection fixes F000021 p.18, F000022/F000023 as distinct p.17 units, and F000024 p.32.",frozen_registry_gap_queue_and_status_sync_completed,2026-09-06
PDHD-RA000018,PDHD-D000051,PDHD-F000041;PDHD-F000042;PDHD-F000043,INTERNET-ARCHIVE,https://archive.org/details/el-maestro.-revista-de-cultura-nacional-n-2-1921,analytical_slots_A_B_C,superseded_by_locator,"The original rows were exact secondary page pointers only. A dedicated exact-issue recovery found the separate Internet Archive N° 2 object, downloaded its 118-page primary PDF and rendered the three cited neighborhoods. Direct visual inspection mapped printed pp. 133, 135, 145, 147 and 173; image-RMSE comparison against public BookReader derivatives independently proved the leaf offset at four separated anchors. This permits exact primary locators and fixed coder boundaries for F000041-F000043 without using secondary prose as evidence.",frozen_registry_alias_crosswalk_and_status_sync_completed,2026-09-06
