act_code,label_es,definition_es
explain,explicar,Desarrollar verbalmente una idea procedimiento o contenido
ask,preguntar,Formular preguntas con propósito de enseñanza comprobación o interacción
examine,examinar,Comprobar conocimientos o desempeño mediante examen o prueba
correct,corregir,Modificar señalar o enmendar una respuesta conducta tarea o producción
punish,castigar,Aplicar una sanción o consecuencia punitiva
reward,premiar,Otorgar reconocimiento recompensa o refuerzo positivo
demonstrate,mostrar,Presentar un objeto ejemplo procedimiento imagen o demostración
read,leer,Realizar o dirigir lectura individual colectiva silenciosa o en voz alta
dictate,dictar,Enunciar contenido para que el alumnado lo registre por escrito
observe,observar,Examinar comportamiento desempeño o fenómeno con intención pedagógica
organize,organizar,Disponer personas tiempos espacios actividades o secuencias de trabajo
classify,clasificar,Agrupar ordenar o categorizar alumnado contenidos objetos o desempeños
adapt,adaptar,Modificar contenido método material evaluación o entorno para responder a condiciones específicas
record,registrar,Asentar por escrito resultados asistencia conducta avances o incidencias
repeat,repetir,Reiterar contenido ejercicio respuesta o práctica
memorize,memorizar,Promover retención y reproducción deliberada de contenido
practice,practicar,Ejercitar reiteradamente una habilidad procedimiento o contenido
guide,guiar,Orientar la actividad del alumnado mediante indicaciones apoyos o andamiajes
